index,brand,model,image_absolute_path,source_url
174,Giorgio Armani,AR5080,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\174_giorgio_armani_ar5080.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar5080/8053672876628
175,Giorgio Armani,AR7125,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\175_giorgio_armani_ar7125.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7125/8056262250082
176,Giorgio Armani,AR7202,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\176_giorgio_armani_ar7202.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7202/8056597337830
177,Giorgio Armani,AR7210,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\177_giorgio_armani_ar7210.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7210/8056597547994
178,Giorgio Armani,AR7206F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\178_giorgio_armani_ar7206f.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7206f/8056597447263
179,Giorgio Armani,AR7122,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\179_giorgio_armani_ar7122.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7122/8053672650624
180,Giorgio Armani,AR 318M,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\180_giorgio_armani_ar_318m.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar-318m/8056597622684
181,Giorgio Armani,AR5124,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\181_giorgio_armani_ar5124.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar5124/8056597628082
182,Giorgio Armani,AR7216,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\182_giorgio_armani_ar7216.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar7216/8056597631600
183,Emporio Armani,Ek1001 Kids,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\183_emporio_armani_ek1001_kids.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek1001-kids/8056597822091
