index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain,source_type,original_size
24,Ray-Ban,Rb4378V Optics,optical frame,images/024_ray_ban_rb4378v_optics.jpg,thumbs/024_ray_ban_rb4378v_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/76e44dd1-060b-4085-84c9-b3630077f533/0RX4378V__8414__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb4378v-optics/7895653323568,www.opsm.com.au,retailer,2000x1000
25,Ray-Ban,Rb3447Vm Scuderia Ferrari Collection,optical frame,images/025_ray_ban_rb3447vm_scuderia_ferrari_collection.jpg,thumbs/025_ray_ban_rb3447vm_scuderia_ferrari_collection.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/ff8419fd-eb07-4bac-a5dc-b35f016e9025/0RX3447VM__F028__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb3447vm-scuderia-ferrari-collection/8056597045742,www.opsm.com.au,retailer,2000x1000
26,Ray-Ban,Rb3716Vm Clubmaster Metal Optics,browline combination,images/026_ray_ban_rb3716vm_clubmaster_metal_optics.jpg,thumbs/026_ray_ban_rb3716vm_clubmaster_metal_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/51b10648-74e6-437a-aed1-b36000298acf/0RX3716VM__2890__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb3716vm-clubmaster-metal-optics/8056597061469,www.opsm.com.au,retailer,2000x1000
27,Ray-Ban,Rb7140 Optics,optical frame,images/027_ray_ban_rb7140_optics.jpg,thumbs/027_ray_ban_rb7140_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/c4686163-8e8e-45ec-bba8-b35f0096f3f9/0RX7140__2012__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb7140-optics/8053672822588,www.opsm.com.au,retailer,1030x430
28,Ray-Ban,Rb5398 Hawkeye Optics,optical frame,images/028_ray_ban_rb5398_hawkeye_optics.jpg,thumbs/028_ray_ban_rb5398_hawkeye_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/f51e4628-9cd1-4446-8cda-b36101000620/0RX5398__5112__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb5398-hawkeye-optics/8056597586382,www.opsm.com.au,retailer,1030x430
29,Ray-Ban,Rb3637V New Round Optics,round / panto optical,images/029_ray_ban_rb3637v_new_round_optics.jpg,thumbs/029_ray_ban_rb3637v_new_round_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/9e128e96-43d2-4a9f-8b8a-b36101361f63/0RX3637V__2501__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb3637v-new-round-optics/8056597641197,www.opsm.com.au,retailer,1030x430
30,Ray-Ban,Rb5499 Lady Burbank Optics,optical frame,images/030_ray_ban_rb5499_lady_burbank_optics.jpg,thumbs/030_ray_ban_rb5499_lady_burbank_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/41962b4f-0d66-4942-afa8-b3610094d825/0RX5499__8144__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb5499-lady-burbank-optics/8056597549479,www.opsm.com.au,retailer,2000x1000
31,Ray-Ban,Rb5428F Rb5428 Optics,optical frame,images/031_ray_ban_rb5428f_rb5428_optics.jpg,thumbs/031_ray_ban_rb5428f_rb5428_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/3e568b34-1383-43ae-8956-b3a10041c327/0RW4012__601_71__P21__shad__fr.png?impolicy=OP_Large&hei=200&wid=400,https://www.opsm.com.au/glasses/ray-ban/rb5428f-rb5428-optics/8056597729468,www.opsm.com.au,retailer,400x200
32,Ray-Ban,Rb7216 New Clubmaster Optics,browline combination,images/032_ray_ban_rb7216_new_clubmaster_optics.jpg,thumbs/032_ray_ban_rb7216_new_clubmaster_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/79b5174a-7bac-4b4a-809e-b363003e107c/0RX7216__8379__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb7216-new-clubmaster-optics/8056262098486,www.opsm.com.au,retailer,1030x430
33,Ray-Ban,Rb7213M Optics Scuderia Ferrari Collection,optical frame,images/033_ray_ban_rb7213m_optics_scuderia_ferrari_collection.jpg,thumbs/033_ray_ban_rb7213m_optics_scuderia_ferrari_collection.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/fad4bdde-0ce6-4dd1-a27d-b362001d30d2/0RX7213M__F628__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb7213m-optics-scuderia-ferrari-collection/8056597762304,www.opsm.com.au,retailer,2000x1000
